streamID,damID,immig_0,immig_1,immig_2,immig_3,immig_4,immig_5,immig_6,immig_7
20013,200054,1,0,0,0,0,1,1,1
20013,200055,0,0,0,0,0,1,0,1
20013,200056,0,1,0,0,0,0,0,0
20013,200057,0,0,1,1,1,0,0,0
20016,200061,1,1,1,1,1,0,0,1
20017,200062,1,0,1,1,0,1,1,1
20017,200063,0,0,0,0,0,1,1,0
20017,200064,0,0,0,0,0,0,0,1
20017,200065,0,1,0,0,1,1,0,0
20018,200066,1,1,1,1,1,0,1,0
20021,200070,1,0,0,0,0,1,0,0
20021,200071,0,0,0,0,0,0,1,1
20021,200072,0,0,0,1,0,1,0,0
20021,200073,0,1,1,0,1,0,0,1
20027,200082,1,0,0,0,0,1,1,0
20027,200083,0,1,1,1,1,0,0,1
20031,200092,1,1,1,1,1,0,0,1
20033,200095,1,0,0,1,0,0,1,0
20033,200096,0,1,1,0,1,1,1,0
20037,200100,1,0,1,0,0,1,1,1
20037,200101,0,1,0,1,1,1,1,1
20040,200109,0,1,1,1,1,0,0,0
20042,200113,1,0,0,1,0,1,1,0
20042,200114,0,1,1,0,1,1,1,1
20047,200126,1,0,0,0,0,1,0,1
20047,200127,0,0,0,1,0,1,1,1
20047,200128,0,1,1,0,1,1,1,1
20048,200129,1,0,0,1,0,0,1,1
20048,200130,0,0,0,0,0,1,0,0
20048,200131,0,0,0,0,0,0,1,1
20048,200132,0,0,0,0,0,1,0,0
20048,200133,0,0,1,0,0,1,0,0
20048,200134,0,0,0,0,0,0,1,1
20048,200135,0,0,0,0,0,1,0,0
20048,200136,0,0,0,0,0,0,1,1
20048,200137,0,0,0,0,0,1,0,0
20048,200138,0,1,0,0,1,0,1,0
20049,200139,1,0,0,0,0,1,1,1
20049,200140,0,0,0,1,0,1,1,1
20049,200141,0,0,0,0,0,1,1,1
20049,200142,0,0,0,0,0,1,1,1
20049,200143,0,0,1,0,0,1,1,1
20049,200144,0,1,0,0,1,1,1,1
20050,200145,1,0,1,0,0,0,0,0
20051,200147,1,0,0,0,0,1,0,0
20051,200148,0,0,0,1,0,0,1,0
20051,200149,0,0,0,0,0,0,0,1
20051,200150,0,0,0,0,0,1,0,1
20051,200151,0,0,0,0,0,0,1,0
20051,200152,0,1,1,0,1,1,0,1
20052,200153,1,0,0,1,0,1,1,1
20052,200154,0,1,1,0,1,1,0,1
20053,200155,1,0,1,0,0,1,0,0
20054,200156,1,1,1,1,1,0,0,1
20055,200157,1,0,0,0,0,1,0,0
20055,200158,0,0,0,1,0,0,1,1
20055,200159,0,0,0,0,0,1,1,1
20055,200160,0,0,0,0,0,1,1,1
20055,200161,0,0,1,0,0,1,1,1
20055,200162,0,1,0,0,1,1,1,1
20056,200163,1,0,0,1,0,1,1,1
20056,200164,0,1,1,0,1,0,1,0
20058,200166,1,0,0,0,0,1,1,1
20058,200167,0,0,0,0,0,1,1,1
20058,200168,0,0,0,0,0,1,0,0
20058,200169,0,1,1,1,1,0,1,1
20062,200176,1,0,0,0,0,0,1,1
20062,200177,0,0,0,1,0,1,0,0
20062,200178,0,0,0,0,0,1,1,1
20062,200179,0,1,1,0,1,1,1,1
20064,200183,1,1,1,0,1,0,0,0
20065,200184,1,0,1,1,0,1,1,1
20065,200185,0,1,0,0,1,1,1,1
20066,200187,1,1,1,0,1,0,0,0
20067,200188,1,0,0,1,0,1,1,0
20067,200189,0,1,1,0,1,1,0,1
20068,200190,1,1,1,1,1,1,0,0
20069,200192,1,0,0,1,0,1,1,0
20069,200193,0,0,0,0,0,1,1,1
20069,200194,0,1,1,0,1,1,0,0
20072,200204,1,0,0,0,0,1,1,1
20072,200205,0,0,0,0,0,1,1,1
20072,200206,0,0,0,0,0,1,1,1
20072,200207,0,0,0,0,0,1,1,1
20072,200208,0,0,0,0,0,1,1,1
20072,200209,0,0,0,0,0,1,0,0
20072,200210,0,1,1,1,1,0,1,1
20073,200211,1,1,1,1,1,1,1,1
20074,200212,1,0,0,1,0,0,0,0
20074,200213,0,1,1,0,1,0,1,1
20075,200214,1,0,0,0,0,1,1,1
20075,200215,0,0,0,1,0,1,1,1
20075,200216,0,0,0,0,0,1,1,1
20075,200217,0,1,1,0,1,1,1,0
20079,200223,1,0,0,1,0,1,1,1
20079,200224,0,0,1,0,0,1,0,1
20079,200225,0,1,0,0,1,1,1,1
20082,200232,1,1,1,1,1,1,1,0
20083,200233,1,1,1,1,1,0,1,0
20084,200235,1,0,0,0,0,1,1,1
20084,200236,0,0,0,0,0,1,1,1
20084,200237,0,0,0,0,0,1,1,1
20084,200238,0,0,0,1,0,1,1,1
20084,200239,0,1,1,0,1,0,1,1
20087,200243,1,0,0,0,0,1,1,1
20087,200244,0,0,0,0,0,1,1,1
20087,200245,0,0,1,0,0,1,1,1
20087,200246,0,1,0,1,1,1,1,1
20088,200249,1,1,0,1,1,0,0,0
20089,200250,1,0,0,0,0,1,1,1
20089,200251,0,0,0,0,0,1,1,1
20089,200253,0,0,0,1,0,0,1,1
20089,200254,0,1,1,0,1,1,0,0
20090,200256,1,1,1,1,1,0,1,0
20093,200260,1,1,1,1,1,1,1,0
20096,200267,1,0,0,0,0,1,0,1
20096,200268,0,0,0,0,0,1,1,1
20096,200272,0,1,1,1,1,1,1,1
20097,200274,1,0,0,1,0,1,1,1
20097,200275,0,0,0,0,0,0,1,1
20097,200276,0,0,0,0,0,1,1,1
20097,200277,0,1,1,0,1,1,1,1
20098,200278,1,0,0,1,0,1,1,1
20098,200279,0,0,0,0,0,1,1,1
20098,200280,0,0,1,0,0,1,1,1
20098,200281,0,1,0,0,1,1,1,1
20100,200287,1,1,1,1,1,1,0,1
20103,200295,1,0,0,0,0,1,1,1
20103,200296,0,0,0,0,0,1,1,1
20103,200297,0,0,0,0,0,1,1,1
20103,200298,0,0,0,0,0,1,1,1
20103,200299,0,0,0,0,0,1,0,0
20103,200300,0,0,0,0,0,0,1,1
20103,200301,0,0,0,1,0,0,0,0
20103,200302,0,1,1,0,1,1,1,1
20105,200309,1,0,0,0,0,1,0,1
20105,200310,0,1,1,1,1,0,1,0
20106,200313,1,1,1,1,1,0,1,0
20107,200315,1,0,1,0,0,0,1,1
20107,200316,0,0,0,0,0,1,1,0
20107,200317,0,1,0,1,1,0,0,1
20108,200318,1,0,0,1,0,1,1,0
20108,200319,0,1,1,0,1,1,0,1
20110,200324,1,0,0,0,0,1,1,1
20110,200325,0,0,0,0,0,1,1,1
20110,200326,0,0,1,0,0,1,0,0
20110,200327,0,1,0,1,1,0,1,1
20113,200336,1,0,0,1,0,1,1,1
20113,200337,0,0,0,0,0,1,1,1
20113,200338,0,1,1,0,1,1,0,1
20115,200342,1,1,1,1,1,0,1,0
20117,200346,1,0,0,0,0,1,1,1
20117,200347,0,0,0,0,0,1,1,1
20117,200348,0,0,0,0,0,1,1,0
20117,200349,0,0,0,0,0,1,1,1
20117,200350,0,0,0,0,0,1,1,1
20117,200351,0,0,0,0,0,1,1,1
20117,200352,0,0,0,1,0,1,1,1
20117,200353,0,1,1,0,1,1,1,1
20118,200355,1,0,1,0,0,0,1,1
20118,200356,0,0,0,0,0,1,1,1
20118,200357,0,1,0,1,1,0,1,1
20124,200370,1,0,0,0,0,1,1,1
20124,200371,0,0,1,0,0,1,1,1
20124,200372,0,0,0,0,0,1,1,1
20124,200374,0,0,0,0,0,1,1,1
20124,200375,0,1,0,1,1,1,1,1
20126,200377,1,0,1,0,0,1,0,1
20127,200378,1,1,1,0,0,0,0,1
20129,200385,1,1,1,0,0,1,0,0
20132,200391,1,0,0,0,0,1,1,0
20132,200392,0,1,1,1,1,1,1,1
20133,200393,1,0,1,1,0,1,0,0
20133,200394,0,1,0,0,1,1,1,0
20134,200396,1,1,1,1,1,1,0,0
20135,200397,1,0,0,0,0,1,0,1
20135,200398,0,0,1,1,0,1,1,1
20135,200399,0,1,0,0,1,1,1,1
20139,200410,1,0,0,0,0,1,1,1
20139,200411,0,1,1,1,1,0,1,1
20142,200419,1,0,0,0,0,0,1,1
20142,200420,0,0,0,1,0,0,1,1
20142,200421,0,1,1,0,1,0,1,1
20144,200425,1,1,1,1,1,1,0,1
20153,200452,1,0,0,1,0,1,1,1
20153,200453,0,1,1,0,1,0,1,1
20155,200462,1,1,1,1,1,1,1,0
20158,200473,1,0,0,0,0,1,1,1
20158,200474,0,0,0,0,0,1,1,1
20158,200475,0,0,0,0,0,1,0,1
20158,200476,0,0,0,0,0,1,1,0
20158,200477,0,0,0,1,0,0,0,1
20158,200478,0,1,0,0,1,0,0,1
20162,200486,1,0,0,1,0,0,1,0
20162,200487,0,0,0,0,0,1,0,1
20162,200488,0,0,0,0,0,1,1,0
20162,200489,0,1,1,0,1,0,0,1
20168,200507,1,1,1,1,1,0,1,0
20169,200510,1,1,1,1,1,1,0,0
20171,200515,1,1,1,1,1,0,0,1
20174,200526,1,1,1,1,1,1,0,1
20179,200537,1,0,0,0,0,1,1,1
20179,200538,0,0,0,1,0,1,1,1
20179,200539,0,1,1,0,1,0,1,0
20181,200543,1,1,1,1,1,1,0,1
20182,200544,1,0,0,1,0,1,1,1
20182,200545,0,0,0,0,0,1,1,1
20182,200546,0,0,0,0,0,1,1,1
20182,200547,0,0,0,0,0,1,1,1
20182,200548,0,0,0,0,0,1,1,1
20182,200549,0,0,0,0,0,1,1,1
20182,200550,0,1,1,0,1,0,1,1
20184,200552,1,1,1,1,1,1,1,1
20187,200558,1,0,0,1,0,1,1,1
20187,200559,0,0,0,0,0,1,1,1
20187,200560,0,0,1,0,0,1,1,1
20187,200561,0,0,0,0,0,1,0,0
20187,200562,0,0,0,0,0,0,1,1
20187,200563,0,1,0,0,1,1,0,0
20188,200565,1,0,0,0,0,1,1,1
20188,200566,0,0,0,0,0,1,1,1
20188,200567,0,1,1,1,1,1,1,1
20191,200574,1,0,0,0,0,0,1,1
20191,200575,0,0,0,0,0,0,1,1
20191,200576,0,1,1,1,1,1,1,0
20197,200592,1,0,0,1,0,1,1,1
20197,200593,0,0,0,0,0,1,1,1
20197,200594,0,0,0,0,0,1,1,1
20197,200595,0,0,1,0,0,0,1,0
20197,200596,0,0,0,0,0,1,0,1
20197,200597,0,1,0,0,1,0,0,0
20205,200611,1,0,0,0,0,0,1,0
20205,200612,0,0,0,1,0,1,0,1
20205,200613,0,0,0,0,0,1,1,1
20205,200614,0,0,0,0,0,1,1,1
20205,200615,0,1,1,0,1,0,0,1
20210,200625,0,1,1,1,1,0,0,0
20219,200642,1,0,0,1,0,1,0,1
20219,200643,0,0,0,0,0,1,0,1
20219,200644,0,1,1,0,1,1,0,0
20222,200651,1,0,0,1,0,1,1,1
20222,200652,0,0,0,0,0,0,1,0
20222,200653,0,0,0,0,0,1,0,1
20222,200654,0,0,0,0,0,1,1,1
20222,200655,0,1,1,0,1,1,1,1
30281,300858,0,0,0,0,0,1,1,0
30281,300859,1,0,0,0,0,0,0,1
30281,300860,0,0,0,1,0,0,0,0
30281,300861,0,0,0,0,0,1,0,1
30281,300862,0,0,0,0,0,0,1,0
30281,300863,0,0,0,0,0,1,1,1
30281,300864,0,0,0,0,0,1,1,1
30281,300865,0,0,1,0,1,1,1,1
30281,300866,0,0,0,0,0,1,1,0
30281,300867,0,0,0,0,0,0,0,1
30281,300868,0,1,0,0,0,1,1,0
30283,300873,1,0,0,0,0,0,1,0
30283,300874,0,0,0,0,0,1,0,0
30283,300875,0,0,0,0,0,0,0,1
30283,300876,0,0,0,1,0,0,0,0
30283,300877,0,0,0,0,0,0,1,0
30283,300878,0,0,0,0,0,0,0,1
30283,300879,0,0,0,0,0,1,1,0
30283,300880,0,0,0,0,0,0,0,1
30283,300881,0,0,0,0,1,1,0,0
30283,300882,0,0,0,0,0,0,1,0
30283,300883,0,0,0,0,0,1,0,1
30283,300884,0,0,0,0,0,0,1,0
30283,300885,0,0,0,0,0,1,1,1
30283,300886,0,1,1,0,0,0,0,1
30285,300893,1,0,0,0,0,0,1,0
30285,300894,0,0,0,1,0,1,0,0
30285,300895,0,0,1,0,1,0,1,1
30285,300896,0,0,0,0,0,0,0,1
30285,300897,0,0,0,0,0,0,1,0
30285,300898,0,1,0,0,0,1,0,1
30287,300901,1,0,0,0,0,0,0,0
30287,300902,0,0,0,1,0,0,1,0
30287,300903,0,0,0,0,1,1,0,1
30287,300904,0,0,0,0,0,1,0,0
30287,300905,0,0,1,0,0,0,0,0
30287,300906,0,0,0,0,0,0,0,1
30287,300907,0,0,0,0,0,0,1,0
30287,300908,0,1,0,0,0,0,0,1
30288,300909,1,0,0,0,0,0,1,0
30288,300910,0,0,0,0,0,0,0,1
30288,300911,0,0,0,1,0,1,0,0
30288,300912,0,1,1,0,1,0,1,0
30290,300917,1,0,0,0,0,0,0,1
30290,300918,0,0,0,0,0,1,0,0
30290,300919,0,0,0,1,0,0,0,0
30290,300920,0,0,0,0,1,0,1,0
30290,300921,0,1,1,0,0,0,0,0
30291,300922,0,1,0,0,1,0,0,0
30293,300929,1,0,1,0,0,1,1,1
30293,300931,0,0,0,1,0,1,0,0
30293,300932,0,1,0,0,1,0,0,0
30294,300933,1,0,0,1,0,1,0,0
30294,300934,0,0,0,0,0,0,0,1
30294,300935,0,1,1,0,1,1,1,0
30295,300936,1,0,0,1,0,0,1,0
30295,300937,0,1,1,0,1,0,1,1
30296,300939,1,0,0,0,0,1,1,1
30296,300941,0,0,0,0,0,0,1,1
30296,300942,0,0,0,0,0,1,0,0
30296,300943,0,0,0,0,1,0,1,0
30296,300944,0,0,0,0,0,0,0,1
30296,300946,0,0,0,0,0,1,0,0
30296,300947,0,0,0,1,0,0,1,1
30296,300948,0,1,1,0,0,1,1,1
30297,300953,0,0,1,0,0,1,1,1
30297,300954,1,0,0,0,0,1,1,1
30297,300955,0,0,0,0,0,1,0,1
30297,300956,0,0,0,0,0,0,1,0
30297,300957,0,1,0,1,1,1,0,1
30298,300959,1,0,0,1,0,0,1,0
30298,300960,0,0,0,0,1,1,0,1
30298,300962,0,0,0,0,0,0,1,1
30298,300963,0,0,0,0,0,1,0,0
30298,300964,0,0,1,0,0,1,1,1
30298,300965,0,1,0,0,0,1,1,1
30303,300999,0,1,0,1,1,0,1,0
30304,301000,0,0,0,1,1,0,1,0
30304,301001,1,0,0,0,0,1,0,0
30304,301002,0,0,0,0,0,0,0,1
30304,301003,0,0,1,0,0,0,1,0
30304,301004,0,1,0,0,0,1,0,0
30305,301006,1,1,1,1,1,0,1,0
30307,301008,1,0,0,0,0,0,0,1
30307,301009,0,0,0,0,0,0,1,0
30307,301010,0,0,0,1,0,1,0,0
30307,301011,0,0,0,0,0,0,1,1
30307,301012,0,0,0,0,0,1,0,0
30307,301013,0,0,0,0,0,0,1,0
30307,301014,0,0,0,0,0,1,0,1
30307,301015,0,0,0,0,0,0,1,0
30307,301016,0,0,0,0,0,1,1,0
30307,301017,0,0,0,0,0,1,1,1
30307,301018,0,0,0,0,0,0,0,1
30307,301019,0,0,0,0,1,1,1,0
30307,301020,0,0,0,0,0,0,0,1
30307,301021,0,0,0,0,0,1,0,0
30307,301022,0,1,1,0,0,1,1,1
30310,301050,1,0,1,0,0,1,1,0
30310,301051,0,1,0,1,1,1,0,1
30312,301056,1,0,0,1,0,0,0,1
30312,301057,0,0,0,0,0,1,1,1
30312,301058,0,0,0,0,0,1,1,1
30312,301060,0,0,1,0,0,1,0,0
30312,301061,0,1,0,0,1,0,1,1
30315,301086,1,0,1,0,1,1,1,1
30315,301087,0,0,0,0,0,0,1,1
30315,301088,0,0,0,1,0,1,0,0
30315,301089,0,1,0,0,0,1,1,1
30316,301090,1,0,0,0,0,1,0,0
30316,301091,0,0,0,0,1,0,1,1
30316,301092,0,0,0,0,0,1,0,0
30316,301093,0,0,0,0,0,0,1,0
30316,301094,0,0,0,0,0,0,0,0
30316,301095,0,0,0,1,0,0,1,0
30316,301096,0,0,0,0,0,1,0,1
30316,301097,0,1,1,0,0,0,0,0
30320,301110,1,1,0,1,1,0,0,1
30323,301121,1,0,0,0,0,1,1,0
30323,301122,0,0,0,1,0,0,0,1
30323,301123,0,0,0,0,0,1,0,0
30323,301124,0,0,0,0,0,0,1,1
30323,301125,0,0,0,0,1,1,0,0
30323,301127,0,0,0,0,0,0,1,0
30323,301128,0,0,1,0,0,1,0,1
30323,301129,0,1,0,0,0,0,1,1
40344,401262,1,0,0,0,0,0,1,0
40344,401263,0,0,0,0,0,0,0,1
40344,401264,0,0,0,0,0,1,1,0
40344,401265,0,0,0,0,0,1,1,1
40344,401266,0,0,1,0,1,0,0,0
40344,401267,0,0,0,0,0,1,1,1
40344,401268,0,0,0,1,0,0,0,0
40344,401269,0,0,0,0,0,0,0,1
40344,401270,0,0,0,0,0,1,1,0
40344,401274,0,1,0,0,0,1,0,1
40345,401275,0,0,0,0,0,0,0,1
40345,401276,0,0,0,1,0,1,1,0
40345,401277,0,0,0,0,0,1,1,0
40345,401278,0,0,1,0,1,1,1,0
40345,401279,0,1,0,0,0,1,1,0
40346,401281,1,0,0,0,1,1,0,0
40346,401282,0,0,0,0,0,0,0,0
40346,401283,0,0,0,0,0,1,1,1
40346,401285,0,0,0,0,0,1,0,0
40346,401286,0,0,0,0,0,0,1,0
40346,401287,0,0,0,0,0,0,0,1
40346,401288,0,0,0,0,0,1,0,0
40346,401289,0,0,0,0,0,0,0,0
40346,401290,0,0,0,0,0,0,0,0
40346,401291,0,0,0,0,0,1,0,0
40346,401292,0,0,0,0,0,0,1,0
40346,401293,0,0,0,0,0,0,0,1
40346,401294,0,0,0,1,0,0,0,0
40346,401295,0,0,0,0,0,0,1,0
40346,401296,0,0,0,0,0,1,0,1
40346,401297,0,1,1,0,0,1,1,1
40347,401300,1,0,0,0,0,0,0,1
40347,401301,0,0,0,1,0,0,1,0
40347,401303,0,0,0,0,0,0,1,0
40347,401305,0,0,0,0,0,0,0,1
40347,401306,0,0,0,0,0,1,0,0
40347,401308,0,0,0,0,0,0,1,0
40347,401311,0,0,0,0,0,1,0,0
40347,401314,0,0,0,0,0,0,0,1
40347,401315,0,0,0,0,0,0,0,0
40347,401316,0,0,0,0,0,0,1,0
40347,401317,0,0,0,0,0,0,0,1
40347,401318,0,0,0,0,1,0,0,0
40347,401319,0,0,0,0,0,0,0,0
40347,401320,0,0,0,0,0,1,0,0
40347,401321,0,0,0,0,0,0,0,1
40347,401323,0,0,0,0,0,0,1,0
40347,401324,0,0,0,0,0,0,0,0
40347,401325,0,0,0,0,0,0,0,0
40347,401327,0,0,0,0,0,0,0,0
40347,401328,0,0,0,0,0,0,0,1
40347,401329,0,0,0,0,0,0,0,1
40347,401330,0,0,0,0,0,1,1,0
40347,401331,0,0,1,0,1,0,0,0
40347,401332,0,0,0,0,0,0,1,1
40347,401334,0,1,0,0,0,1,0,0
40349,401358,1,0,0,0,0,0,1,0
40349,401359,0,0,0,1,0,0,0,0
40349,401360,0,0,0,0,0,1,1,1
40349,401361,0,0,0,0,1,0,0,0
40349,401362,0,0,0,0,0,0,1,1
40349,401363,0,0,0,0,0,1,0,0
40349,401364,0,0,0,0,0,0,0,1
40349,401365,0,0,0,0,0,0,1,0
40349,401366,0,0,0,0,0,1,0,0
40349,401367,0,0,0,0,0,0,0,1
40349,401369,0,0,0,0,0,1,0,1
40349,401370,0,0,0,0,0,0,1,0
40349,401371,0,0,0,0,0,1,0,0
40349,401372,0,0,0,0,0,1,1,1
40349,401374,0,0,1,0,0,1,1,0
40349,401375,0,0,0,0,0,0,1,1
40349,401376,0,0,0,0,0,1,1,1
40349,401378,0,0,0,0,0,1,1,1
40349,401380,0,0,0,0,0,0,0,1
40349,401383,0,0,0,0,0,0,1,0
40349,401384,0,1,0,0,0,1,0,0
40350,401393,1,0,0,0,0,0,1,0
40350,401394,0,0,0,0,0,1,0,0
40350,401395,0,0,0,0,0,0,0,1
40350,401396,0,0,0,0,0,0,0,0
40350,401397,0,0,0,0,0,0,1,0
40350,401398,0,0,0,0,0,0,0,1
40350,401399,0,0,0,0,0,0,0,0
40350,401400,0,0,0,0,0,1,0,0
40350,401401,0,0,0,0,0,0,1,0
40350,401402,0,0,0,0,0,0,0,0
40350,401403,0,0,0,0,0,0,0,1
40350,401404,0,0,0,1,0,0,0,0
40350,401405,0,0,0,0,0,1,1,0
40350,401406,0,0,0,0,0,0,0,1
40350,401407,0,0,1,0,0,1,0,0
40350,401408,0,0,0,0,0,0,1,1
40350,401409,0,1,0,0,1,1,0,0
40352,401418,0,0,1,0,0,1,0,0
40352,401420,1,0,0,0,0,0,0,0
40352,401421,0,0,0,0,0,0,1,0
40352,401422,0,0,0,0,0,0,0,1
40352,401423,0,0,0,1,0,0,0,0
40352,401424,0,1,0,0,0,0,0,0
40352,401425,0,0,0,0,1,0,1,0
