,mean_dist_to_outlet,Qpeak_reduction,cost
_2000160,16371.271063074622,5.1056976318359375,36720.01048753381
_1950243,16636.32520790915,6.1005706787109375,50164.43748826091
_1970180,16132.142998593263,6.8978118896484375,65890.14515173755
_1890194,17330.674613942476,7.9406890869140625,78931.95654618352
_1920229,17212.28349062795,8.473220825195312,95604.44357438551
_1970143,15635.046086290591,8.616867065429688,121715.2276109623
_1690326,17653.396958162924,9.641845703125,124142.17822175364
_1880343,17369.163689942146,10.41485595703125,143288.14284340356
_1740277,16328.88018415064,11.166534423828123,156361.30094873495
_1510172,15573.891407873543,12.341629028320312,157354.2796612188
_2000336,15395.485060089273,12.589599609375,170659.1822922672
_1980224,14957.565675909034,12.683975219726562,188485.4981714424
_2000235,15458.173466540728,12.856338500976562,197831.6705163236
_2000143,14822.006032937574,13.019622802734377,203975.4007116932
_2000119,14996.853492215669,13.459686279296877,217058.22169461075
_1990128,15127.28161095267,13.557785034179688,217324.72629502407
_1980074,15062.341336342992,14.061904907226562,226927.4849671217
_2000272,14984.368222955316,14.388916015625,231907.9963652156
_1660183,14203.850671279382,15.578277587890623,250952.5113353032
_1960091,14344.48615337874,16.473663330078125,273825.27936551213
_2000279,14146.45910196111,16.568222045898438,278556.49545402604
_1970354,14956.732412897223,17.474685668945312,283961.87459173426
_1900152,14349.549956977398,18.848876953125,289633.4549140169
_1940319,14189.954431279219,19.5831298828125,305771.6829161252
_1900312,14457.726917840582,20.405029296875,316221.7211959564
_2000308,13942.33436437408,21.196853637695312,365475.5431834816
_1990046,14196.027527404876,21.21759033203125,369918.2895134677
_1970046,14617.187003221328,22.069076538085938,381333.4222923016
_2000189,14104.004787515303,22.426422119140625,395216.8096793389
_1970067,14336.722759653054,22.63975524902344,415927.01921480586
_1870118,14487.076648264203,23.327316284179688,423127.8714647708
_1930185,14196.569305590732,23.928497314453125,440013.0869913696
_1820087,14413.091651767549,24.746734619140625,448805.00628632895
_1990252,14235.158109209258,24.777267456054688,481022.6268862327
_2000049,14550.61007817582,24.845718383789062,483361.1440277573
_2000339,14424.825539419066,25.1148681640625,486546.24297107774
_1940146,14636.459937537344,25.545700073242188,491841.1959850266
_2000022,14641.18699297852,25.81929016113281,529825.083390521
_1960126,14486.31915944616,27.370773315429688,547375.5664194728
_1990172,14714.905182987532,27.59364318847656,552459.6516490421
_1950139,13965.018531460906,28.42250061035156,570871.8257359979
_1970088,13976.98889866403,29.1087646484375,589181.9002562161
_1990136,13773.793384166847,29.26777648925781,604919.0268561523
_1960004,13734.265868516153,30.266159057617188,605455.4025354059
_1850186,13827.850182948809,31.0650634765625,622019.4055375425
_1960083,13813.06898792536,31.530487060546875,659770.257713741
_1960316,13903.903779430806,32.46327209472656,670052.0739301891
_2000299,13780.005541334282,32.639678955078125,709197.5232996797
_1940181,14167.532707220795,33.09101867675781,720507.6338814764
_1790219,13791.742025060827,33.9327392578125,734214.8618533018
_1990052,13728.078128028725,34.353790283203125,756119.0788407127
_2000009,13585.555731996341,34.81884765625,810227.7863314917
_2000131,13908.558781130308,35.21568298339844,834291.7089123653
_1930068,13637.860841875749,35.65638732910156,841891.1491543497
_1810146,13659.80973473583,36.250091552734375,863720.954940674
_2000348,13564.7936430622,36.31802368164063,877439.9572912067
_1950230,13654.993280882694,36.908111572265625,890997.9068559565
_1990069,13515.195187552412,37.027000427246094,901729.4990268385
_2000122,13579.729986825396,37.302391052246094,926495.5800934088
_1860166,13736.89670284032,37.43937683105467,943930.3768108533
_2000300,13515.30153931283,37.472412109375,972943.7478113204
_1990040,13656.884221990053,38.27089691162109,979299.5366791978
_1970204,13568.280156298844,38.603157043457045,1011295.7111308724
_1970260,12900.399535323953,39.13799285888672,1047662.9834036988
_1930051,13230.708277065878,39.76824951171877,1050505.4340394067
_1950263,13271.135509195235,40.14275360107422,1078431.7534004855
_2000116,13324.562341116136,40.285041809082045,1087218.825105896
_2000054,13727.943336473203,40.62933349609376,1144332.9210242175
_2000093,13747.343562675422,40.84708404541016,1149769.901372134
_2000194,13878.904508278953,40.97528839111328,1152515.8670876685
_1990192,14077.894823737814,41.17253112792967,1164701.1809491122
_1950321,13080.920219914617,41.75749206542967,1224511.4637264733
_1750258,13774.51976073467,42.561485290527344,1234266.9471982396
_2000170,13828.563352074994,42.8312530517578,1270401.5195105122
_1980183,13869.40319648284,43.26580047607422,1282501.2053352017
_2000124,13876.593089537138,43.40858459472656,1292132.4477112049
_2000152,13780.567019080925,43.51577758789063,1342622.9142164844
_1960093,13639.308543583942,44.05821228027344,1350841.2073646314
_2000255,13336.525743604308,44.17324066162109,1414050.976843831
_2000080,13577.639905347252,44.82295989990234,1423512.8827293834
_1940139,13612.290127497317,44.94945526123048,1440875.135183541
_2000199,13460.082398718636,45.1897430419922,1460409.0233727074
_1970293,13887.40028028769,45.585670471191406,1502096.4958541377
_2000043,14001.143422045052,45.72246551513672,1516737.3462189836
_2000323,13531.254630769277,45.8886947631836,1538160.9505224414
_2000297,13691.94737653337,46.15997314453124,1552352.6356855985
_2000342,13517.919308256527,46.238868713378906,1600215.2423188395
_1990238,13942.412751518938,46.575469970703125,1601044.9010571162
_1950314,14012.334394844669,47.07152557373048,1635626.2334889632
_2000155,14054.005233597429,47.18495178222656,1657560.3831290717
_2000208,14074.696090567983,47.33722686767578,1663009.042444176
_1960154,14078.330274057664,47.65275573730467,1679122.804751296
_2000129,14213.331573901838,47.84626007080078,1706618.0972215843
_2000293,14018.785341853123,48.17017364501952,1746575.275550276
_2000059,13841.306546570353,48.216575622558594,1768052.5979759884
_1990336,13986.224073991385,48.438117980957045,1827983.7436172788
_2000081,13951.825940089006,49.2587890625,1828130.6035158853
_1980296,13991.692979204025,49.402679443359375,1834581.7528481127
_2000207,13792.926409366191,49.41087341308594,1846618.434577832
_2000202,13943.431425929424,49.77072143554688,1881163.389193136
_1930232,14125.739360743695,50.1474609375,1906207.088940953
_1910102,13988.23166175316,50.82666015625,1929334.4410442293
_2000168,13847.311422700579,50.894775390625,1939759.67264508
_1990239,13959.815859640921,51.01716613769533,1957437.279650704
_2000035,13824.101034382238,51.53313446044922,1998656.8302249208
_1940251,13902.326969129244,51.66790008544922,2063671.007643248
_1980228,14015.833983145587,52.09551239013672,2115726.5623557093
_1990091,13560.971071364416,52.39678955078124,2120493.4675672203
_2000318,13477.388229114486,52.435394287109375,2126716.770498452
_2000162,13586.688196038473,52.5718231201172,2146333.48015426
_2000157,13554.581609287225,52.621490478515625,2167374.015216037
_1960245,13638.59924020503,52.67572021484376,2171710.530300508
_1890029,13743.994675981678,52.93247222900391,2201258.512509092
_2000251,13823.74866277637,52.97296905517578,2212331.126021609
_1970103,13548.515615639668,53.26081848144533,2297540.9217259325
_2000329,13615.078271836137,53.26759338378906,2312978.0754410727
_1960287,13413.709488281233,53.834617614746094,2322337.062211592
_2000053,13588.325280181445,54.43758392333984,2368790.8218741235
_2000220,13524.664838379073,54.52603912353516,2446054.4150425666
_2000357,13550.004685394339,54.780303955078125,2485010.01928016
_1980149,13236.70825141471,54.88834381103516,2541101.0380843333
_2000182,13639.722905132323,54.931526184082045,2564477.858703984
_2000243,13491.202156285979,55.133750915527344,2581966.559076724
_2000237,13529.174077080419,55.56485748291016,2592662.4254574548
_2000088,13383.943016396104,55.59163665771485,2628283.0503977104
_1960007,13616.369404378562,55.82366180419922,2656304.476335892
_2000322,13676.349761837355,55.8623275756836,2672060.5677612857
_1980285,13479.008646952963,56.0685577392578,2714683.6745560914
_1980277,13591.682004036342,56.16554260253906,2841299.497854209
_2000127,13842.653141117147,56.25704956054688,2850173.01585764
_1950159,13842.383359722533,56.45590972900391,2872425.546582115
_2000082,13763.90958454004,56.566673278808594,2893840.3436917206
_1960307,13799.61401040687,56.65885925292967,2906588.108755119
_2000101,13260.235201383475,56.71028900146485,3197929.514192092
_1970311,13302.912553458105,56.822784423828125,3199239.58160808
_1980000,13281.459636402462,56.86016082763672,3238217.7034399286
_1990073,13134.758111002871,57.2790069580078,3320109.6967076547
_2000330,13115.380514986711,57.42755126953124,3407906.586916984
